iter	Passed	Remaining
1594	155297	99117
1595	155401	99024
1596	155507	98932
1597	155614	98841
1598	155719	98749
1599	155821	98654
1600	155931	98564
1601	156037	98473
1602	156148	98384
1603	156250	98289
1604	156356	98197
1605	156457	98102
1606	156560	98008
1607	156672	97920
1608	156776	97827
1609	156891	97740
1610	156997	97648
1611	157100	97554
1612	157204	97460
1613	157313	97370
1614	157418	97277
1615	157526	97186
1616	157627	97091
1617	157740	97003
1618	157849	96913
1619	157954	96820
1620	158062	96729
1621	158169	96637
1622	158274	96544
1623	158377	96450
1624	158483	96357
1625	158587	96264
1626	158694	96172
1627	158800	96080
1628	158907	95988
1629	159014	95896
1630	159123	95805
1631	159227	95712
1632	159336	95621
1633	159441	95528
1634	159546	95434
1635	159652	95342
1636	159761	95251
1637	159867	95159
1638	159975	95067
1639	160084	94976
1640	160187	94882
1641	160294	94790
1642	160396	94695
1643	160500	94601
1644	160607	94509
1645	160708	94413
1646	160816	94322
1647	160921	94228
1648	161029	94137
1649	161134	94044
1650	161242	93952
1651	161362	93867
1652	161476	93779
1653	161583	93687
1654	161695	93597
1655	161805	93507
1656	161908	93412
1657	162016	93320
1658	162120	93226
